mi_from_subject,record_type,status,name,planning_area,review_authority,zoning,aia_zone,record_id
0.01,Conditional Use,Awaiting Applications,2774 E GOWEN RD,Southeast,Planning & Zoning Commission,MZC 2023,B,CUP25-00007
0.01,Project,Project Entitled,2774 E GOWEN RD,Southeast,Planning & Zoning Commission,MZC 2023,B,PLN24-00745
0.07,Design Review-Historic,Awaiting Applications,2422 E GOWEN RD - DR Minor,Southeast,Administrative,MZC 2023,B,DRH25-00256
0.07,Project,Expired,2422 E GOWEN RD - DR Minor,Southeast,Administrative,MZC 2023,B,PLN25-00546
0.08,Design Review-Historic,In Review,2350 E GOWEN RD,Southeast,Design Review Commission,MZC 2023,B,DRH26-00092
0.08,Project,Applications in Review,2350 E GOWEN RD,Southeast,Design Review Commission,MZC 2023,B,PLN26-00066
0.61,Project,Project Entitled,6880 S EISENMAN RD,Airport,Planning & Zoning Commission,MZC 2023,B,PLN25-00837
0.61,Record of Survey,Awaiting Applications,DRH MOD of DRH23-00402,Airport,Administrative,MZC 2023,B,ROS25-00088
0.66,Project,Applications in Review,6490 S EISENMAN RD - SUB,Airport,City Council,MZC 2023,B,PLN26-00074
0.66,Subdivision,In Review,6490 S EISENMAN RD - SUB,Airport,City Council,MZC 2023,B,SUB26-00027
0.74,Project,Neighborhood Meeting,6651 S EISENMAN RD,Airport,Design Review Commission,MZC 2023,B,PLN26-00476
0.77,Conditional Use,Awaiting Applications,1400 W EXCHANGE ST  CUP/DRH,Airport,Planning & Zoning Commission,MZC 2023,C,CUP26-00022
0.77,Design Review-Historic,Awaiting Applications,1400 W EXCHANGE ST  CUP/DRH,Airport,Planning & Zoning Commission,MZC 2023,C,DRH26-00206
0.77,Project,Awaiting Applications,1400 W EXCHANGE ST  CUP/DRH,Airport,Planning & Zoning Commission,MZC 2023,C,PLN26-00176
0.94,Project,Neighborhood Meeting,8000 S FEDERAL WAY,Southeast,Hearing Examiner,MZC 2023,B,PLN25-01031
1.12,Annexation-Rezone,In Review,S1605336000,Southeast,City Council,MZC 2023,A,CAR26-00010
1.12,Comprehensive Plan Amendment,In Review,S1605336000,Southeast,City Council,MZC 2023,A,CPA26-00001
1.12,Project,Applications in Review,S1605336000,Southeast,City Council,MZC 2023,A,PLN26-00336
1.17,Design Review-Historic,Awaiting Applications,6752 S BUSINESS WAY,Airport,Administrative,MZC 2023,C,DRH25-00333
1.17,Project,Awaiting Applications,6752 S BUSINESS WAY,Airport,Administrative,MZC 2023,C,PLN25-00788
1.39,Project,Applications in Review,2392 E WINCO CT,Airport,City Council,MZC 2023,B,PLN25-00331
1.48,Project,Applications in Review,6411 Business Way,Airport,Administrative,MZC 2023,C,PLN26-00587
1.55,Design Review-Historic,Awaiting Applications,6843 S SUPPLY WAY - DRH (minor),Airport,Administrative,MZC 2023,C,DRH26-00213
1.55,Design Review-Historic,In Review,9035 S FEDERAL WAY,Southeast,City Council,MZC 2023,B,DRH25-00382
1.55,Project,Applications in Review,9035 S FEDERAL WAY,Southeast,City Council,MZC 2023,B,PLN25-00701
1.55,Project,Awaiting Applications,6843 S SUPPLY WAY - DRH (minor),Airport,Administrative,MZC 2023,C,PLN26-00450
1.55,Record of Survey,In Review,9035 S FEDERAL WAY,Southeast,City Council,MZC 2023,B,ROS25-00075
1.58,Conditional Use,In Review,1221 E ECHELON RIDGE LN,Southeast,Administrative,MZC 2023,Outside AIA,CUP25-00048
1.58,Project,Applications in Review,1221 E ECHELON RIDGE LN,Southeast,Administrative,MZC 2023,Outside AIA,PLN25-01149
1.66,Project,Awaiting Applications,5263 E TRAIL WIND DR - ADU,Southeast,Administrative,MZC 2023,Outside AIA,PLN26-00475
1.66,Project,Awaiting Applications,5263 E Trail Wind Dr,Southeast,Administrative,MZC 2023,Outside AIA,PLN25-00378
1.67,Project,Applications in Review,2500 E FREIGHT ST,Airport,Administrative,MZC 2023,B,PLN25-00886
1.7,Conditional Use,Appealed,4750 S SURPRISE WAY,Southeast,Planning & Zoning Commission,MZC 2023,Outside AIA,CUP26-00003
1.7,Design Review-Historic,Awaiting Applications,4750 S SURPRISE WAY,Southeast,Planning & Zoning Commission,MZC 2023,Outside AIA,DRH26-00107
1.7,Project,Appealed,4750 S SURPRISE WAY,Southeast,Planning & Zoning Commission,MZC 2023,Outside AIA,PLN25-00683
1.76,Project,Applications in Review,8000 S Federal Way,Southeast,Administrative,MZC 2023,B,PLN26-00597
1.84,Floodplain-Hillside,Applicant Upload,3960 S ECKERT RD - CFH,Southeast,Administrative,MZC 2023,Outside AIA,CFH25-00084
1.84,Project,Planning Application Submittal,3960 S ECKERT RD - CFH,Southeast,Administrative,MZC 2023,Outside AIA,PLN25-00141
1.89,Floodplain-Hillside,In Review,4010 S ECKERT RD  CFH(2),Barber Valley,Planning & Zoning Commission,MZC 2023,Outside AIA,CFH26-00021
1.89,Floodplain-Hillside,In Review,4010 S ECKERT RD  CFH(2),Barber Valley,Planning & Zoning Commission,MZC 2023,Outside AIA,CFH26-00022
1.89,Project,Applications in Review,4010 S ECKERT RD  CFH(2),Barber Valley,Planning & Zoning Commission,MZC 2023,Outside AIA,PLN26-00231
1.91,Project,Applications in Review,3753 S WILLIAMSBURG WAY - ADU,Southeast,Administrative,MZC 2023,Outside AIA,PLN25-00489
1.91,Project,Neighborhood Meeting,2649 E FREIGHT ST,Airport,Design Review Commission,MZC 2023,A,PLN26-00160
2.0,Project,Planning Application Submittal,601 W GOWEN RD,Airport,Administrative,MZC 2023,C,PLN25-00791
2.0,Project,Project Entitled,601 W GOWEN RD,Airport,City Council,MZC 2023,C,PLN24-00561
2.0,Subdivision,Awaiting Applications,601 W GOWEN RD,Airport,Administrative,MZC 2023,C,SUB26-00013
2.08,Project,Applications in Review,3845 S MILLBROOK WAY - SOS,Barber Valley,City Council,MZC 2023,Outside AIA,PLN25-00728
2.21,Design Review-Historic,Awaiting Applications,4247 E BRIGHTSIDE ST,Barber Valley,Administrative,MZC 2023,Outside AIA,DRH26-00151
2.21,Project,Awaiting Applications,4247 E BRIGHTSIDE ST,Barber Valley,Administrative,MZC 2023,Outside AIA,PLN26-00311
2.29,Project,Applications in Review,3450 S HOPES WELL WAY,Barber Valley,Administrative,MZC 2023,Outside AIA,PLN25-00184
2.31,Project,Project Entitled,3430 S Hopes Well Way,Barber Valley,Administrative,MZC 2023,Outside AIA,PLN24-00599
2.34,Project,Neighborhood Meeting,Parcel # R5350490040,Southeast,City Council,MZC 2023,Outside AIA,PLN26-00356
2.39,Annexation-Rezone,In Review,S1608417250,Southeast,City Council,MZC 2023,Outside AIA,CAR26-00006
2.39,Conditional Use,In Review,S1608417250,Southeast,City Council,MZC 2023,Outside AIA,CUP26-00012
2.39,Design Review-Historic,Awaiting Applications,5301 Warm Springs Ave,Barber Valley,Administrative,MZC 2023,Outside AIA,DRH26-00172
2.39,Project,Applications in Review,S1608417250,Southeast,City Council,MZC 2023,Outside AIA,PLN26-00227
2.39,Project,Awaiting Applications,5301 Warm Springs Ave,Barber Valley,Administrative,MZC 2023,Outside AIA,PLN26-00435
2.41,Design Review-Historic,In Review,2936 S PERRAULT WAY,Barber Valley,City Council,MZC 2023,Outside AIA,DRH26-00176
2.41,Project,Applications in Review,2936 S PERRAULT WAY,Barber Valley,City Council,MZC 2023,Outside AIA,PLN24-00299
2.44,Design Review-Historic,In Review,3140 E BARBER VALLEY DR,Barber Valley,Design Review Commission,MZC 2023,Outside AIA,DRH26-00116
2.44,Project,Applications in Review,3140 E BARBER VALLEY DR,Barber Valley,Design Review Commission,MZC 2023,Outside AIA,PLN26-00116
2.45,Design Review-Historic,Awaiting Applications,3218 E BARBER VALLEY DR,Barber Valley,Design Review Commission,MZC 2023,Outside AIA,DRH25-00393
2.45,Design Review-Historic,Awaiting Applications,3218 E BARBER VALLEY DR,Barber Valley,Design Review Commission,MZC 2023,Outside AIA,DRH26-00136
2.45,Project,Project Entitled,3218 E BARBER VALLEY DR,Barber Valley,Design Review Commission,MZC 2023,Outside AIA,PLN25-00092
2.46,Project,Applications in Review,1155 E VICTORY RD,Southeast,Administrative,MZC 2023,Outside AIA,PLN25-00139
2.48,Project,Awaiting Applications,3122 S OLD HICKORY WAY,Barber Valley,City Council,MZC 2023,Outside AIA,PLN25-00809
2.49,Project,Expired,3122 S OLD HICKORY WAY,Barber Valley,Administrative,MZC 2023,Outside AIA,PLN25-00329
2.49,Record of Survey,Awaiting Applications,3122 S OLD HICKORY WAY,Barber Valley,Administrative,MZC 2023,Outside AIA,ROS25-00033
2.58,Floodplain-Hillside,Awaiting Applications,2190 E GOSSAMER LN - ADU,Southeast,Administrative,MZC 2023,Outside AIA,CFH26-00047
2.58,Project,Planning Application Submittal,2190 E GOSSAMER LN - ADU,Southeast,Administrative,MZC 2023,Outside AIA,PLN26-00437
2.6,Floodplain-Hillside,Returned to Applicant,3573 E PROVISION LN,Barber Valley,Administrative,MZC 2023,Outside AIA,CFH25-00011
2.6,Project,Applications in Review,3573 E PROVISION LN,Barber Valley,Administrative,MZC 2023,Outside AIA,PLN24-01092
2.63,Floodplain-Hillside,Awaiting Applications,3069 E STARVIEW DR,Foothills,City Council,MZC 2023,Outside AIA,CFH25-00006
2.63,Project,Awaiting Applications,3069 E STARVIEW DR,Foothills,City Council,MZC 2023,Outside AIA,PLN24-00813
2.63,Subdivision,Awaiting Applications,3069 E STARVIEW DR,Foothills,City Council,MZC 2023,Outside AIA,SUB25-00004
2.65,Project,Applications in Review,3501 E ETERNAL LN,Barber Valley,Administrative,MZC 2023,Outside AIA,PLN25-00773
2.73,Floodplain-Hillside,Applicant Upload,2971 STARVIEW DR,Foothills,Administrative,MZC 2023,Outside AIA,CFH25-00065
2.73,Floodplain-Hillside,Awaiting Applications,5759 S BRIAN WAY,Barber Valley,Administrative,MZC 2023,Outside AIA,CFH26-00050
2.73,Project,Awaiting Applications,5759 S BRIAN WAY,Barber Valley,Administrative,MZC 2023,Outside AIA,PLN26-00454
2.73,Project,Planning Application Submittal,2971 STARVIEW DR,Foothills,Administrative,MZC 2023,Outside AIA,PLN25-00656
2.77,Project,Awaiting Applications,3522 E VIA ESTANCIA LN,Barber Valley,Administrative,MZC 2023,Outside AIA,PLN25-00661
2.93,Project,Applications in Review,5841 E PROMINENCE CT,Foothills,City Council,MZC 2023,Outside AIA,PLN26-00312
2.93,Zoning Ordinance Amendment,Accepted,5841 E PROMINENCE CT,Foothills,City Council,MZC 2023,Outside AIA,ZOA26-00001
2.95,Project,Neighborhood Meeting,501 E BOISE AVE,Southeast,City Council,MZC 2023,Outside AIA,PLN26-00091
3.02,Project,Applications in Review,1332 W GOWEN RD - DRH,Airport,Design Review Commission,MZC 2023,C,PLN26-00162
3.05,Project,Expired,Barber Dr and Shady Ln (S0920230000 & S0920243500),Foothills,Administrative,MZC 2023,Outside AIA,PLN25-00038
3.05,Record of Survey,Awaiting Applications,Barber Dr and Shady Ln (S0920230000 & S0920243500),Foothills,Administrative,MZC 2023,Outside AIA,ROS25-00013
3.06,Floodplain-Hillside,Awaiting Applications,3623 E ASTEROID CT,Foothills,Administrative,MZC 2023,Outside AIA,CFH26-00024
3.06,Project,Awaiting Applications,3623 E ASTEROID CT,Foothills,Administrative,MZC 2023,Outside AIA,PLN26-00285
3.07,Floodplain-Hillside,Awaiting Applications,3615 E ASTEROID CT,Foothills,Administrative,MZC 2023,Outside AIA,CFH26-00034
3.07,Floodplain-Hillside,Returned to Applicant,3603 E ASTEROID CT,Foothills,Administrative,MZC 2023,Outside AIA,CFH26-00027
3.07,Project,Applications in Review,3603 E ASTEROID CT,Foothills,Administrative,MZC 2023,Outside AIA,PLN26-00296
3.07,Project,Awaiting Applications,3615 E ASTEROID CT,Foothills,Administrative,MZC 2023,Outside AIA,PLN26-00352
3.1,Floodplain-Hillside,Awaiting Applications,1936 S WINDSTAR PL,Foothills,Administrative,MZC 2023,Outside AIA,CFH25-00095
3.1,Project,Awaiting Applications,1936 S WINDSTAR PL,Foothills,Administrative,MZC 2023,Outside AIA,PLN25-01021
3.11,Project,Applications in Review,3596 E ASTEROID DR,Foothills,Administrative,MZC 2023,Outside AIA,PLN25-00945
3.13,Floodplain-Hillside,Returned to Applicant,3572 E ASTEROID DR,Foothills,Administrative,MZC 2023,Outside AIA,CFH26-00029
3.13,Project,Applications in Review,3572 E ASTEROID DR,Foothills,Administrative,MZC 2023,Outside AIA,PLN26-00297
3.14,Floodplain-Hillside,Awaiting Applications,1292 E CROSSCREEK LN - CFH,Southeast,Administrative,MZC 2023,Outside AIA,CFH25-00035
3.14,Floodplain-Hillside,Awaiting Applications,1292 E CROSSCREEK LN - CFH,Southeast,Administrative,MZC 2023,Outside AIA,CFH25-00036
3.14,Project,Project Entitled,1292 E CROSSCREEK LN - CFH,Southeast,Administrative,MZC 2023,Outside AIA,PLN25-00149
3.15,Project,Applications in Review,3412 S LINDSAY AVE,Central Bench,City Council,MZC 2023,Outside AIA,PLN25-00164
3.15,Project,Neighborhood Meeting,3412 S LINDSAY AVE,Central Bench,Design Review Commission,MZC 2023,Outside AIA,PLN26-00457
3.21,Project,Applications in Review,2623 S LEADVILLE AVE,Southeast,Administrative,MZC 2023,Outside AIA,PLN25-00185
3.26,Project,Awaiting Applications,716 W LINDEN ST,Southeast,Administrative,MZC 2023,Outside AIA,PLN26-00228
3.27,Design Review-Historic,Awaiting Applications,607 E PENNSYLVANIA ST,Southeast,Administrative,MZC 2023,Outside AIA,DRH25-00357
3.27,Project,Awaiting Applications,607 E PENNSYLVANIA ST,Southeast,Administrative,MZC 2023,Outside AIA,PLN25-00713
3.29,Project,Applications in Review,1621 S STONE RIDGE WAY - CFH,Foothills,Administrative,MZC 2023,Outside AIA,PLN25-00753
3.34,Project,Applications in Review,1535 S GALAXY WAY,Foothills,Hearing Examiner,MZC 2023,Outside AIA,PLN26-00308
3.35,Project,Applications in Review,2530 S BROADWAY AVE,Southeast,Administrative,MZC 2023,Outside AIA,PLN26-00282
3.38,Project,Applications in Review,3262 E BIRDSONG CT,Foothills,Administrative,MZC 2023,Outside AIA,PLN26-00545
3.42,Project,Applications in Review,2233 S DIVISION AVE,Southeast,City Council,MZC 2023,Outside AIA,PLN25-00401
3.48,Project,Expired,524 E PARKWAY CT,Southeast,Administrative,MZC 2023,Outside AIA,PLN25-00352
3.48,Record of Survey,Awaiting Applications,524 E PARKWAY CT,Southeast,Administrative,MZC 2023,Outside AIA,ROS25-00036
3.5,Conditional Use,In Review,2017 W VICTORY RD,Central Bench,City Council,MZC 2023,Outside AIA,CUP26-00017
3.5,Floodplain-Hillside,Returned to Applicant,2017 W VICTORY RD,Central Bench,City Council,MZC 2023,Outside AIA,CFH26-00040
3.5,Project,Applications in Review,2017 W VICTORY RD,Central Bench,City Council,MZC 2023,Outside AIA,PLN25-01116
3.5,Project,Applications in Review,2312 S BROADWAY AVE,Southeast,City Council,MZC 2023,Outside AIA,PLN25-00965
3.5,Subdivision,In Review,2017 W VICTORY RD,Central Bench,Planning & Zoning Commission,MZC 2023,Outside AIA,SUB26-00025
3.52,Project,Awaiting Applications,2315 S BROADWAY AVE,Southeast,City Council,MZC 2023,Outside AIA,PLN25-00357
3.58,Project,Applications in Review,1020 W TARGEE ST,Southeast,Administrative,MZC 2023,Outside AIA,PLN26-00089
3.58,Project,Applications in Review,1022 W TARGEE ST,Southeast,Administrative,MZC 2023,Outside AIA,PLN26-00094
3.6,Project,Expired,2140 S Longmont,Southeast,Administrative,MZC 2023,Outside AIA,PLN24-00822
3.7,Project,Awaiting Applications,1303 W HOWARD ST,Southeast,City Council,MZC 2023,Outside AIA,PLN26-00096
3.7,Subdivision,Awaiting Applications,1303 W HOWARD ST,Southeast,City Council,MZC 2023,Outside AIA,SUB26-00033
3.71,Project,Applications in Review,1853 W MALAD LN,Central Bench,Administrative,MZC 2023,Outside AIA,PLN24-00982
3.71,Project,Applications in Review,2420 E WARM SPRINGS AVE,Foothills,Administrative,MZC 2023,Outside AIA,PLN25-00964
3.71,Record of Survey,Returned to Applicant,1853 W MALAD LN,Central Bench,Administrative,MZC 2023,Outside AIA,ROS25-00005
3.72,Project,Applications in Review,2130 S GRANT AVE,Southeast,Administrative,MZC 2023,Outside AIA,PLN25-00270
3.73,Project,Applications in Review,2521 W VICTORY RD,Central Bench,Design Review Commission,MZC 2023,Outside AIA,PLN25-00220
